country,total patent applications,total trademark applications,high-technology exports,high-technology exports (USD),research and development expenditure,payment for intellectual property,
Aruba,24,2,4.354,1655305,NULL,NULL,
Afghanistan,9,88,NULL,NULL,NULL,4778790.721,
Angola,3,2782,5.78,98225931,0.032,127168951.47,
Anguilla,NULL,NULL,NULL,NULL,NULL,NULL,
Albania,24,1180,0.045,591717,NULL,34784215.265,
Aland,NULL,NULL,NULL,NULL,NULL,NULL,
Andorra,53,1663,28.461,33913480,NULL,NULL,
United Arab Emirates,792,22300,2.163,476586475,1.303,NULL,
Argentina,815,55181,5.213,561915854,0.542,1714038099.543,
Armenia,211,2760,9.795,45646416,0.189,0,
American Samoa,NULL,NULL,NULL,NULL,NULL,NULL,
Antarctica,NULL,NULL,NULL,NULL,NULL,NULL,
Ashmore and Cartier Islands,NULL,NULL,NULL,NULL,NULL,NULL,
French Southern and Antarctic Lands,NULL,NULL,NULL,NULL,NULL,NULL,
Antigua and Barbuda,343,651,0.613,11437,NULL,5321410.686,
Australia,12611,103941,21.525,6411061180,1.874,3408650425.975,
Austria,14482,118728,11.499,15989939763,3.172,2090629491.261,
Azerbaijan,584,1851,4.956,28035272,0.185,NULL,
Burundi,7,NULL,1.531,224575,0.21,4711.486,
Belgium,14229,97431,12.021,40830355646,2.821,3520238785.687,
Benin,102,1760,1.25,1203811,NULL,17885.46,
Burkina Faso,NULL,1785,25.803,34864593,0.701,467647.806,
Bangladesh,89,8336,NULL,NULL,NULL,47747802.842,
Bulgaria,466,32044,10.852,2099897945,0.768,258330000,
Bahrain,80,1105,0.449,11790575,NULL,NULL,
The Bahamas,NULL,NULL,NULL,NULL,NULL,NULL,
Bosnia and Herzegovina,61,950,5.271,253657306,0.199,13861325.457,
Bajo Nuevo Bank (Petrel Is.),NULL,NULL,NULL,NULL,NULL,NULL,
Saint Barthelemy,NULL,NULL,NULL,NULL,NULL,NULL,
Belarus,1284,5085,4.252,756914800,0.608,187100000,
Belize,15,925,0.067,6270,NULL,7438447.633,
Bermuda,125,791,6.941,1569638,0.26,3880988.358,
